WL,A25ME,A30ME,A35ME,A40ME,A45ME,A50ME,A55ME,A60ME,A65ME,A70ME,A75MEREF,A80ME,A85ME,A90ME
244.2,-92771.69566,-59966.68825,-56487.99345,-67688.47526,-97545.54754,-103137.9276,-97230.11669,-82138.19334,-106862.2007,-123542.6219,-76357.15185,-34845.25793,-57822.55451,-64733.17676
244.1,-97964.6626,-66135.99825,-65245.82652,-73969.03185,-104712.6937,-108677.1719,-102392.4361,-90495.8173,-110775.9314,-126898.7265,-83190.35921,-39218.70169,-66638.29949,-71079.60566
244,-103268.6771,-72502.72617,-72572.37967,-80399.44297,-112676.6759,-114031.1379,-109014.8919,-100654.6808,-116055.6667,-130497.6233,-90461.38857,-44839.93815,-74568.44997,-77641.7614
243.9,-108587.2194,-78895.32539,-79680.02182,-87274.24342,-121120.4712,-119552.6704,-117158.1821,-111099.7206,-121136.1929,-135726.2131,-98977.6235,-51822.60202,-82792.53822,-83713.5565
243.8,-113717.2992,-85980.47941,-87101.90076,-95155.43744,-128682.8512,-124337.4678,-125863.2775,-122667.7739,-127693.5724,-140157.7678,-107228.9761,-60022.21204,-91764.50605,-89424.74548
243.7,-118176.3172,-93548.6307,-93393.80092,-102927.574,-136616.7828,-130095.8222,-135445.808,-134436.8273,-134881.0176,-145277.499,-116113.1805,-69929.72588,-99666.99414,-94459.69848
243.6,-122787.3789,-100739.658,-99993.56955,-111726.2041,-143902.9369,-137191.5237,-145269.7376,-146758.9295,-142722.4096,-149974.334,-125658.4962,-79910.4754,-107735.0586,-99539.62774
243.5,-128073.6815,-109100.6652,-107404.5029,-119821.7319,-150992.0712,-143619.3477,-154805.8988,-158328.7738,-151666.9141,-155404.5209,-135073.4603,-91326.28603,-113936.0111,-105571.2228
243.4,-133429.4387,-117183.0583,-116072.3835,-129407.4466,-157812.1439,-149701.6903,-164545.2492,-168594.7047,-161591.9408,-161624.5784,-144690.8175,-103603.2129,-120563.0441,-111077.2325
243.3,-139716.7616,-125759.5933,-125616.9031,-140211.8985,-164556.1947,-155422.6308,-174316.8392,-178655.4562,-171298.4545,-168369.4254,-153699.6022,-117448.1396,-126641.8046,-118224.8757
243.2,-146809.478,-134361.0045,-136706.7353,-151111.2782,-171522.5398,-161559.9002,-184376.9937,-188350.6264,-181331.7427,-174742.5216,-163660.2517,-129466.3535,-134729.77,-125288.1386
243.1,-154729.877,-144211.6015,-148055.8776,-161986.9756,-179427.814,-169154.5198,-194862.8306,-198044.8015,-190625.7087,-180328.9313,-172366.9392,-141102.0702,-143972.7895,-131307.594
243,-163890.7053,-153035.1078,-161092.4257,-172147.6302,-187039.7475,-178759.3394,-205288.7655,-207109.707,-200962.2881,-186904.6197,-181106.4634,-152462.5561,-153053.8148,-139616.6596
242.9,-172940.287,-161900.0083,-174788.2939,-182710.882,-194807.9039,-189212.5387,-215390.5131,-215344.7408,-211714.7984,-194979.2515,-188478.1918,-162870.182,-162945.6068,-148145.2331
242.8,-182521.2255,-171061.2346,-188274.0075,-192734.0206,-201953.3579,-199776.1885,-225219.617,-223396.6854,-224262.3789,-204399.1908,-195660.6617,-174183.5025,-172519.1819,-157647.9606
242.7,-192853.0286,-178746.0058,-201288.6645,-202192.1699,-207621.1627,-210743.6296,-235225.8398,-231661.5707,-237114.4447,-214646.2157,-202301.6254,-184755.7097,-182476.8462,-168341.564
242.6,-203999.1807,-186630.3839,-214023.3144,-211412.3032,-215235.2853,-222901.1505,-245058.9239,-241434.9518,-249598.342,-225313.1517,-209069.9555,-195326.3249,-190919.6465,-179805.734
242.5,-215129.81,-195600.3617,-226272.3799,-220648.3573,-222349.8928,-235729.3351,-255359.6815,-250107.8076,-262237.4671,-237866.7025,-214761.6415,-206709.6969,-200621.981,-192816.0128
242.4,-226469.3998,-204713.6266,-237460.7221,-229548.0845,-229424.6983,-248832.1535,-265254.4587,-259954.8224,-275587.0579,-251208.3329,-220841.397,-218600.5444,-210546.6097,-207531.6082
242.3,-238002.0293,-212674.0266,-248314.7275,-238443.8315,-236684.5831,-261600.6351,-274816.8892,-268611.7574,-288128.6681,-265576.8549,-227414.6973,-230770.0059,-220976.7238,-223145.9328
242.2,-249683.9163,-220751.8425,-259049.3269,-247755.5094,-244923.5971,-273730.2946,-285557.4589,-277125.4052,-301309.1004,-281445.9123,-233645.7004,-241190.1695,-231574.0063,-238427.9107
242.1,-261737.952,-228907.2723,-268954.0546,-256032.3353,-253797.453,-285209.1914,-298252.3068,-286640.0733,-314702.4734,-296914.9596,-241168.2784,-251413.3132,-241512.5657,-253960.6412
242,-274022.8393,-237474.6528,-278401.0593,-264830.5674,-264372.8444,-295633.3352,-311265.5707,-295171.632,-327646.0838,-312382.0168,-250362.5404,-262056.368,-251574.5113,-269447.5994
241.9,-286383.3504,-246848.0238,-286805.2516,-273992.9878,-277585.1183,-305647.5184,-324324.6069,-305653.4887,-340490.1892,-328324.7079,-260127.9611,-272705.3931,-263244.4577,-284866.8942
241.8,-297848.3165,-256098.0086,-294588.5327,-285181.33,-290962.5705,-314276.592,-337578.6729,-316646.8011,-353764.1562,-344486.31,-270693.402,-283646.9629,-276586.0881,-299116.0102
241.7,-309747.1244,-265748.0035,-301784.7343,-297185.6132,-304300.2207,-323934.5473,-350936.2241,-328617.2526,-366731.6478,-361097.6747,-282273.7939,-295020.3844,-290504.8475,-313470.6015
241.6,-322101.6652,-276311.4543,-309772.9957,-309191.8865,-319024.9706,-333355.6807,-364218.1515,-341938.982,-379663.3176,-377410.5244,-294709.9288,-306244.5484,-304453.4584,-326981.3904
241.5,-334474.1169,-288156.5295,-317968.2275,-321596.1798,-332927.8092,-342506.1605,-378198.604,-357465.7422,-392923.3539,-394380.1071,-309221.738,-318672.7229,-318197.089,-339248.3668
241.4,-347041.5984,-301579.754,-325512.6966,-334782.5824,-347300.3114,-352158.1455,-390210.8476,-374309.9486,-405747.5583,-409029.2332,-325066.9142,-332201.4227,-333069.1063,-352038.7395
241.3,-360387.209,-315886.5829,-333811.4136,-348339.1436,-362188.2495,-362118.596,-402181.2991,-391040.7193,-417600.5939,-423403.7255,-341150.9024,-346979.9053,-348154.0643,-365091.8054
241.2,-373903.9682,-330559.5902,-342619.5962,-362562.3883,-376704.0389,-372317.8585,-415451.2859,-408487.926,-430564.1053,-436779.1876,-357260.7619,-361067.8232,-362309.6456,-378483.1883
241.1,-387269.4798,-346072.4197,-353515.3937,-377442.366,-391518.3433,-382554.9329,-428402.8567,-425533.1325,-442003.2001,-449402.3919,-374220.3941,-375734.8602,-375466.1967,-392189.007
241,-400284.7338,-361559.3779,-365957.4989,-392782.0568,-405978.4099,-394246.7704,-441826.0812,-443121.6363,-452628.344,-460913.1303,-391540.2344,-390280.5011,-388927.2331,-406306.7764
240.9,-413602.483,-377933.9207,-379685.2087,-408274.9853,-420898.1896,-406006.2713,-454592.5727,-460897.2095,-464574.9143,-470596.9569,-408330.7081,-404545.5379,-403017.1411,-420092.1991
240.8,-427668.5098,-394163.1862,-394039.8,-424108.2209,-437224.97,-420038.4664,-467922.2625,-478149.3864,-476006.0487,-481407.1801,-425779.9049,-418131.9506,-418092.1486,-434341.3151
240.7,-441477.8137,-410772.5608,-409264.065,-441059.8927,-453490.0573,-434932.3748,-481614.1505,-493809.4833,-487865.0546,-492456.2153,-442956.458,-432373.1062,-433107.4531,-450807.4025
240.6,-455541.8504,-426936.153,-426024.6872,-459267.3176,-471305.4325,-450674.0658,-495439.3752,-508890.4611,-501417.6356,-503320.1712,-460397.6944,-447858.0743,-447905.8367,-469486.4811
240.5,-468650.6391,-443434.082,-442653.9628,-478107.5943,-488032.223,-466861.5392,-508124.2726,-524078.9043,-516625.9798,-515280.6722,-477580.2178,-463683.3495,-462749.9926,-487992.421
240.4,-483214.1909,-461311.1503,-459535.9811,-495940.8804,-504366.9638,-484796.3204,-519762.3774,-540992.7642,-532258.2153,-528435.2332,-494774.6818,-480575.3183,-478720.5451,-506458.5589
240.3,-498277.2578,-478867.8125,-474473.6717,-514108.5033,-519463.8624,-503881.3794,-530982.5612,-557602.1388,-548559.1244,-542212.6955,-511149.2246,-496028.4448,-495588.6327,-525864.024
240.2,-514267.7113,-497839.4358,-489208.3721,-532628.3739,-536461.3065,-523955.5181,-542222.646,-573485.1269,-565367.509,-557399.1486,-527655.114,-512900.5126,-511998.9973,-546117.2717
240.1,-530079.0558,-516697.6234,-503443.5574,-550429.8184,-551518.4031,-544859.5285,-553635.8695,-588993.9762,-581835.5865,-574985.6623,-544662.5086,-532403.4926,-531034.3038,-567845.1835
240,-546176.9747,-535908.0587,-516830.9601,-567644.1834,-566446.1432,-566085.9351,-565654.0834,-605501.8557,-600775.3682,-591947.2846,-562402.26,-553938.3647,-550579.0759,-589596.9765
239.9,-562664.9532,-554392.1075,-529872.0854,-583431.6467,-581497.2695,-588014.847,-577923.0499,-621161.9526,-619816.645,-610385.5611,-580307.1897,-575035.4148,-569928.8182,-610313.9175
239.8,-579292.2387,-573395.5724,-543651.5378,-599547.4765,-596568.2968,-609257.1744,-592687.6018,-638213.1294,-639769.3876,-631671.6707,-598630.0404,-595057.8109,-590213.9075,-630131.3333
