WL,Beta25ME,Beta30ME,Beta35ME,Beta40ME,Beta45 ME,Beta50ME,Beta55ME,Beta60ME,Beta65ME,Beta70ME,Beta75ME,Beta80ME,Beta85ME,Beta90ME
239.6,-816144.7336,-949141.6177,-965019.2,-974387.3914,-873704.6996,-1060075.804,-963296.36,-983962.4827,-930546.4841,-978931.2327,-1098362.244,-985012.8978,-978221.0088,-999863.938
239.5,-822005.5728,-967519.9043,-986721.8119,-1003082.824,-888185.7072,-1079942.179,-993024.3029,-1009488.765,-949563.3753,-996420.2474,-1112554.785,-998101.3096,-996308.8397,-1024055.318
239.4,-831341.9334,-983371.6241,-1007700.274,-1030353.83,-903152.1339,-1095662.597,-1018178.563,-1038277.7,-967649.2168,-1013933.135,-1129277.872,-1009832.935,-1020715.077,-1052901.946
239.3,-842011.2071,-997172.2492,-1028394.249,-1056856.919,-919743.919,-1109321.973,-1041417.009,-1066861.725,-985772.8573,-1030554.762,-1145374.291,-1023333.157,-1047202.25,-1081748.575
239.2,-856665.2945,-1007992.719,-1050415.168,-1082480.683,-940517.4705,-1121363.949,-1064478.397,-1098471.662,-1004218.784,-1047858.76,-1164600.071,-1037314.82,-1075800.201,-1111410.867
239.1,-872781.6075,-1017772.721,-1070733.142,-1102546,-961708.8007,-1133839.618,-1084879.926,-1132580.314,-1021475.036,-1066284.793,-1184355.038,-1056079.054,-1108184.023,-1141976.357
239,-894685.1511,-1030337.914,-1091616.111,-1123958.156,-987151.5272,-1145384.238,-1106387.575,-1164508.558,-1041596.057,-1086638.576,-1205255.913,-1080801.61,-1139861.601,-1170996.065
238.9,-919962.7555,-1046281.148,-1114034.915,-1144640.194,-1017434.519,-1159409.668,-1128949.617,-1193253.726,-1065411.436,-1106747.66,-1226630.27,-1108207.896,-1173303.796,-1203706.153
238.8,-950448.6684,-1064651.477,-1137581.722,-1163629.233,-1048151.205,-1174847.588,-1148147.546,-1225374.944,-1091150.587,-1125975.43,-1244117.295,-1134639.366,-1207941.634,-1234385.04
238.7,-981362.3072,-1081971.39,-1161403.069,-1177051.868,-1082968.091,-1191731.818,-1165226.74,-1255246.126,-1120257.83,-1148171.419,-1263285.383,-1164741.32,-1242360.635,-1259320.463
238.6,-1010256.682,-1100194.502,-1183710.466,-1189203.261,-1117293.59,-1209964.876,-1179707.747,-1282507.185,-1152126.391,-1176373.475,-1283744.605,-1196124.463,-1278072.761,-1283074.17
238.5,-1040452.139,-1117406.987,-1204537.731,-1201038.337,-1152182.095,-1225400.807,-1192786.212,-1306426.013,-1189438.013,-1207945.612,-1308206.547,-1226331.857,-1316116.491,-1304370.94
238.4,-1072372.426,-1133893.333,-1227680.685,-1212006.024,-1187426.707,-1242024.423,-1204430.303,-1329835.55,-1225971.771,-1242058.243,-1330402.535,-1258027.339,-1355678.15,-1320909.01
238.3,-1103914.722,-1150829.288,-1250479.469,-1225553.992,-1223687.914,-1259945.142,-1216032.616,-1354209.956,-1261520.765,-1278603.937,-1356076.035,-1283491.949,-1393135,-1335390.018
238.2,-1133955.005,-1170667.811,-1270797.443,-1235823.392,-1256045.874,-1277117.839,-1227157.467,-1380366.886,-1295100.23,-1314009.692,-1383971.719,-1305184.614,-1431117.058,-1352526.905
238.1,-1163418.354,-1193500.414,-1295744.803,-1248651.19,-1287948.256,-1294939.087,-1237916.265,-1402340.059,-1328518.552,-1349035.468,-1413972.213,-1326483.373,-1468329.209,-1366096.757
238,-1193385.028,-1216894.036,-1319108.583,-1259871.533,-1321754.515,-1311037.495,-1249228.122,-1418406.636,-1363906.402,-1383776.756,-1441398.394,-1348619.679,-1503665.334,-1379537.296
237.9,-1226964.493,-1240283.678,-1345299.332,-1271081.93,-1353364.452,-1330235.424,-1267582.536,-1433140.301,-1399220.644,-1415573.698,-1467879.599,-1367574.898,-1533210.25,-1397177.507
237.8,-1259143.405,-1271636.979,-1370338.206,-1283491.949,-1383681.264,-1351802.755,-1286016.526,-1446845.433,-1435388.348,-1446893.18,-1493306.41,-1387910.776,-1556556.125,-1415571.709
237.7,-1292430.425,-1304213.775,-1396320.066,-1297929.189,-1412899.914,-1374257.369,-1304339.109,-1458980.912,-1470979.12,-1482971.36,-1516264.348,-1410347.485,-1578230.885,-1431053.396
237.6,-1322235.955,-1339894.071,-1424080.47,-1316774.99,-1441368.553,-1400810.193,-1326278.462,-1475896.973,-1511330.58,-1518204.035,-1539347.619,-1436850.574,-1598449.388,-1448928.359
237.5,-1349847.152,-1373292.499,-1451641.931,-1338105.58,-1468693.273,-1428109.051,-1348639.573,-1490149.197,-1554331.951,-1553482.467,-1560795.585,-1461000.176,-1614832.283,-1467497.63
237.4,-1372037.173,-1403227.341,-1478431.497,-1361260.47,-1495080.975,-1455127.4,-1373035.863,-1504711.77,-1595208.618,-1585374.902,-1581509.454,-1483792.991,-1631738.397,-1490519.229
237.3,-1392128.352,-1434244.43,-1504351.685,-1389130.292,-1520943.47,-1477896.342,-1399532.984,-1519513.075,-1637674.834,-1614504.029,-1603619.897,-1506201.848,-1648515.199,-1511778.2
237.2,-1412438.368,-1464851.698,-1529770.538,-1419134.765,-1542779.373,-1500770.724,-1428526.829,-1532249.359,-1681121.836,-1639572.744,-1624278.062,-1527009.22,-1664215.722,-1533687.712
237.1,-1435700.688,-1498250.126,-1557584.657,-1447993.33,-1565269.796,-1526798.341,-1464736.311,-1544643.462,-1725412.353,-1664243.574,-1648214.796,-1547528.125,-1683423.598,-1558062.118
237,-1460433.19,-1534686.402,-1586538.714,-1480597.978,-1583357.627,-1553790.828,-1498250.126,-1558658.945,-1768288.39,-1685241.93,-1673820.655,-1566913.06,-1705844.391,-1584700.488
236.9,-1487823.561,-1571082.889,-1616592.922,-1514547.476,-1602263.111,-1584167.322,-1533395.266,-1571405.176,-1806988.629,-1700455.045,-1700413.268,-1588645.513,-1723826.783,-1612403.198
236.8,-1516202.676,-1607759.886,-1645843.404,-1548023.491,-1621071.113,-1616787.886,-1572937.031,-1590056.013,-1841741.854,-1717392.99,-1726277.752,-1611002.645,-1738142.668,-1643818.172
