WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta 80 ME,Beta85ME,Beta90 ME
240,-407384.0266,-545320.6472,-442783.8135,-340847.7855,-463187.3324,-299356.3863,-400785.1116,-368244.125,-433815.4961,-422782.158,-372207.055,-421719.8063,-582015.5482,-548585.2898
239.9,-432599.9589,-557698.835,-437887.8443,-341663.4488,-463857.7678,-309576.0506,-400697.577,-369501.4401,-436334.1052,-427423.4811,-387925.4835,-431036.2727,-581193.9167,-551716.641
239.8,-460939.2848,-570572.3891,-433807.5384,-343593.1888,-466374.3875,-323257.3103,-398222.7352,-370681.1678,-441220.1273,-431999.1532,-405388.6356,-442970.8192,-580597.0899,-552152.3246
239.7,-491556.4996,-583109.7307,-433503.1568,-347030.9111,-466107.8048,-335780.7259,-399607.3734,-367364.8002,-450763.3878,-440867.9995,-424693.9932,-457238.9586,-579126.9065,-550367.8125
239.6,-519615.3169,-595670.9454,-438812.9259,-355436.2219,-463509.6188,-348117.1359,-403761.2879,-367462.2819,-461552.0269,-448921.1824,-441134.5821,-474055.5484,-580244.9621,-548030.2408
239.5,-547946.6851,-603775.8534,-443981.4459,-362771.2233,-463278.8458,-360099.4286,-407577.0006,-369559.1334,-476241.9239,-457085.773,-454419.9467,-491749.4736,-578156.0683,-545887.6326
239.4,-575213.7121,-610307.128,-452378.799,-372471.6482,-464766.934,-372332.3886,-413113.5638,-369927.1766,-493675.2347,-464257.6418,-466223.1914,-507951.3318,-578561.9105,-547192.6939
239.3,-598977.3659,-612443.7679,-462725.7863,-383638.2776,-465210.5752,-382460.5394,-416766.1439,-370726.9245,-513259.1115,-470713.3183,-480421.7009,-522973.4623,-581293.3878,-546663.5075
239.2,-619476.3771,-614749.5088,-476222.0297,-395648.4223,-466020.2702,-395638.4751,-424077.2722,-370537.9294,-533022.0362,-478279.0927,-493917.9443,-535980.3077,-585397.5668,-548459.9561
239.1,-634122.5067,-613155.9812,-490549.8517,-408297.1716,-467884.3593,-408539.8811,-433302.2251,-369405.9479,-554617.2193,-488224.2166,-504871.7055,-548861.8195,-590798.8493,-553314.1474
239,-646484.7792,-608315.7159,-502365.0329,-418214.4436,-470958.0173,-422623.0042,-441924.3829,-370386.7332,-574527.3613,-496727.0091,-514458.7333,-561665.7438,-600650.4704,-557111.9553
238.9,-655709.7321,-599747.2725,-514327.4314,-428537.5578,-477125.2276,-435910.3582,-450671.8744,-376957.7963,-597147.097,-505295.4525,-525754.6752,-573015.4001,-615907.3528,-563203.5675
238.8,-660444.558,-589585.3015,-527010.0009,-440818.2639,-481856.0747,-454453.7669,-461746.9904,-382349.1317,-621032.1056,-520367.3187,-537577.8141,-585835.2398,-633654.9924,-570287.9016
238.7,-664624.3351,-582244.3319,-540975.7481,-456626.2164,-490828.3709,-471974.6123,-476403.0671,-387609.1653,-643222.126,-533768.0697,-550059.452,-600330.1733,-651380.7484,-577949.1683
238.6,-666585.9058,-573427.2106,-558528.4242,-472569.4497,-506182.735,-488566.3973,-493289.2867,-392819.4632,-666365.0799,-547039.5083,-562564.9628,-616323.1421,-670326.0204,-586587.2415
238.5,-666651.5568,-564978.1325,-575563.8505,-493953.7539,-528519.9727,-506696.0061,-513191.4711,-403339.5303,-684423.0694,-557595.385,-574513.4354,-633738.5482,-689621.4309,-600334.1522
238.4,-663380.9459,-555540.3114,-594968.6792,-516543.6483,-552916.2629,-523184.3411,-532622.1623,-413326.4321,-702767.5358,-567542.4983,-586030.2032,-650909.2552,-711439.4292,-615304.5577
238.3,-661023.48,-546066.6807,-614077.0839,-543991.7128,-574378.1546,-535476.9838,-554527.6953,-425603.1593,-722896.5144,-575848.338,-596727.3289,-670419.5233,-732258.7375,-634054.8664
238.2,-658894.7978,-537995.5929,-634926.2335,-569973.5728,-595125.8436,-547359.8054,-575213.7121,-439736.018,-740005.5493,-588495.0979,-607219.544,-687528.5582,-751709.3229,-649361.4844
238.1,-653933.1776,-532266.0556,-655926.5792,-597473.3624,-613625.485,-561854.7389,-596076.7877,-457111.6355,-754442.7896,-598696.8573,-617023.4189,-703804.0251,-771937.7725,-666016.9309
238,-645653.2005,-526767.2914,-675798.9222,-626260.3084,-634259.7769,-578058.5866,-614739.5617,-475855.9759,-766727.4746,-608200.3294,-625438.6768,-719506.5382,-788724.521,-683030.4736
237.9,-639125.9047,-521749.9674,-692520.0197,-652878.7836,-652468.9626,-596968.049,-635538.9757,-496559.8976,-773831.7029,-620833.1633,-635737.9179,-733458.3593,-804940.3052,-700240.9691
237.8,-637042.9792,-519945.561,-711306.1379,-679346.0628,-667994.4171,-616335.0787,-651705.0243,-517222.0414,-779360.3085,-634387.0999,-647565.0357,-747515.6199,-824259.5887,-713305.5077
237.7,-637798.9598,-522376.6355,-730903.9406,-707323.3138,-681353.3903,-638924.973,-666776.8904,-538409.3928,-784990.3747,-646950.3041,-657824.4884,-762977.4129,-841756.561,-726021.8974
237.6,-641662.4186,-528460.2901,-751418.8672,-735535.3166,-694921.2528,-662684.648,-678383.1822,-562344.1369,-791099.8917,-660953.8502,-666454.6039,-779760.1825,-857650.0587,-736281.3501
237.5,-646098.8312,-536670.6374,-769106.8241,-759233.3194,-707522.256,-684574.2656,-691789.9016,-590898.3205,-800285.0561,-671885.7278,-674587.3638,-800034.3889,-874040.9121,-748735.136
237.4,-654108.2468,-547377.7102,-787325.9569,-782710.4963,-720079.4919,-708773.6029,-701500.2736,-623126.9677,-808754.0284,-683205.5428,-686177.7402,-817662.6631,-887399.8853,-756581.419
237.3,-664896.886,-561321.5737,-809207.6168,-807532.5229,-729748.0861,-730983.5175,-712414.2464,-654273.3689,-817634.8112,-695154.0153,-697648.7513,-835046.2384,-897730.9572,-764127.2992
237.2,-679596.73,-579124.9171,-832171.5226,-833774.9973,-739239.6216,-750229.1924,-721010.5417,-687108.79,-826634.9593,-705797.4266,-708206.6174,-849290.5047,-905073.9162,-770384.0334
237.1,-694559.1779,-598052.2844,-850965.5986,-855732.2553,-746741.7345,-767732.133,-725556.3725,-721215.4522,-832577.3648,-717837.4125,-720310.2649,-863630.2632,-911103.8563,-780100.3737
237,-710205.9872,-618121.5802,-869103.165,-874900.3427,-752226.5728,-786355.1186,-728377.3738,-752910.9342,-840071.52,-732772.0085,-735746.1954,-873869.8217,-918040.9732,-790449.3505
236.9,-727219.5298,-639553.6306,-886365.3855,-890306.4318,-754371.1704,-804757.2783,-728854.8353,-784610.3949,-850947.6937,-748949.9936,-753674.8725,-879217.3898,-924152.4796,-798623.8882
236.8,-744085.8552,-663367.0199,-902672.6831,-903128.2609,-755622.5173,-826499.6786,-728795.1526,-815386.7636,-863321.9027,-767897.2551,-774466.3288,-884161.1052,-927126.6665,-809545.8186
236.7,-763148.5032,-683434.3264,-917553.5646,-909860.4672,-757997.8879,-846917.1234,-730330.9869,-846642.5831,-877343.3537,-787337.8934,-795840.6859,-889279.8897,-930626.061,-817284.6728
236.6,-786237.7427,-703424.0453,-931684.4338,-915124.4796,-761994.6381,-869560.7322,-735195.1253,-881674.3268,-887614.7429,-806945.6432,-821514.1854,-892703.6861,-932683.124,-820694.5433
