WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,BCoh85ME,BCoh90ME
239.4,-1745803.204,-2004685.453,-1893328.384,-1967755.276,-2002088.408,-1939270.507,-1952829.788,-1977752.394,-2086795.687,-2016733.134,-2207440.451,-2284968.254,-2286715.494,-1097900.689
239.3,-1801178.416,-2050035.972,-1942687.276,-2019430.451,-2068857.026,-1995242.338,-2017738.361,-2030041.735,-2142491.77,-2095138.318,-2261013.274,-2348034.329,-2328752.023,-1109707.717
239.2,-1856834.389,-2093799.686,-1996079.609,-2072905.508,-2136563.188,-2052224.408,-2083195.922,-2085366.811,-2198405.944,-2177323.756,-2315854.537,-2409954.796,-2366221.163,-1123176.754
239.1,-1911670.639,-2135836.216,-2052640.537,-2126942.089,-2207976.906,-2117235.76,-2147695.886,-2145291.865,-2255591.065,-2263482.472,-2374300.579,-2470702.08,-2409115.018,-1141270.836
239,-1967888.136,-2181650.492,-2112151.969,-2187235.643,-2282113.009,-2180046.14,-2218139.473,-2207222.359,-2313066.976,-2348470.512,-2427489.862,-2531291.436,-2455957.082,-1165677.041
238.9,-2029893.834,-2227848.31,-2173508.406,-2247920.257,-2351927.389,-2243275.157,-2288512.87,-2269162.88,-2368499.844,-2431367.881,-2477116.981,-2592858.444,-2501079.482,-1191765.308
238.8,-2093754.564,-2275512.605,-2237948.207,-2311272.107,-2419861.669,-2309903.394,-2358793.514,-2333976.194,-2426296.625,-2514997.236,-2525977.02,-2650539.912,-2551370.904,-1221390.671
238.7,-2155346.64,-2324467.902,-2304822.11,-2374907.225,-2480889.715,-2377737.402,-2426479.621,-2398709.291,-2487625.487,-2591379.432,-2574809.484,-2705163.084,-2606721.048,-1246082.651
238.6,-2218269.827,-2375067.66,-2371615.796,-2433581.386,-2541494.112,-2444809.343,-2492155.274,-2460090.796,-2549064.648,-2667084.792,-2622162.936,-2758708.332,-2663750.748,-1264653.025
238.5,-2277901.585,-2421571.307,-2440530.235,-2489320.084,-2601231.156,-2510660.472,-2557512.564,-2519659.884,-2607397.884,-2739355.836,-2664878.808,-2803479.78,-2718123.24,-1287352.099
238.4,-2339373.335,-2467794.192,-2510886.084,-2543900.64,-2655879.396,-2574283.056,-2624218.512,-2581828.524,-2668062.444,-2808418.176,-2706466.62,-2847724.8,-2778311.508,-1308349.056
238.3,-2401188.516,-2513718.768,-2584410.528,-2597370.684,-2709900.936,-2635499.112,-2695662.312,-2646403.692,-2722911.228,-2872893.072,-2748154.704,-2890014.516,-2842134.636,-1331787.636
238.2,-2460574.608,-2566261.296,-2656731.708,-2649737.736,-2763521.388,-2692754.424,-2764925.196,-2707895.496,-2780141.472,-2933657.904,-2795984.448,-2933933.652,-2902297.836,-1351872.118
238.1,-2517428.832,-2625246.3,-2728426.188,-2704711.86,-2818996.872,-2749959.6,-2835441.48,-2769788.388,-2832784.272,-2989258.728,-2841733.548,-2979682.752,-2961608.724,-1376664.37
238,-2574107.58,-2683479.264,-2800546.824,-2759560.644,-2871815.148,-2801649.816,-2904553.956,-2827570.128,-2878758.984,-3041675.916,-2894401.416,-3025456.92,-3024203.52,-1400649.432
237.9,-2632089.864,-2741261.004,-2870135.592,-2814935.856,-2920146.252,-2855245.2,-2967650.112,-2886379.656,-2922352.236,-3091536.168,-2944963.572,-3072509.556,-3083138.388,-1427076.118
237.8,-2691676.5,-2796084.72,-2940351.06,-2867302.908,-2961358.044,-2911798.608,-3020368.116,-2942181.024,-2968301.88,-3142073.256,-2997957.324,-3122094.06,-3141772.44,-1451334.421
237.7,-2752616.808,-2853615.78,-3006480.444,-2919243.804,-3003271.74,-2965444.128,-3069401.124,-2997806.916,-3013775.232,-3187571.676,-3046614.312,-3171177.204,-3200005.404,-1475362.099
237.6,-2815462.284,-2913478.164,-3071983.128,-2974619.016,-3051627.912,-3023977.908,-3116478.828,-3056566.308,-3066016.944,-3234749.652,-3098931.228,-3222792.216,-3257135.376,-1499297.026
237.5,-2882920.272,-2978053.332,-3134803.536,-3027888.516,-3103644.012,-3081107.88,-3168219.18,-3116228.148,-3116604.168,-3280949.976,-3154481.916,-3274708.044,-3318251.16,-1529416.228
237.4,-2950453.464,-3048970.704,-3194390.172,-3076971.66,-3154682.46,-3135455.304,-3218981.88,-3175112.88,-3173082.372,-3330434.208,-3212263.656,-3331762.812,-3382375.104,-1555426.784
