WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta80 ME,Beta85 ME,Beta90 ME
240.6,-624543.4366,-711568.7417,-826595.1709,-633348.6213,-591395.6761,-655091.0216,-655295.9322,-628458.6204,-641019.8351,-795973.9772,-722214.1424,-767708.26,-770877.4103,-687335.5842
240.5,-644487.3988,-730088.2773,-843371.9722,-632640.3868,-623300.0474,-663826.5766,-681446.8931,-644017.8951,-649518.6487,-816743.5498,-735035.9715,-796544.9415,-777667.3098,-705298.0815
240.4,-667111.1134,-742036.7499,-856237.5686,-630724.5728,-661870.9741,-676218.6904,-704104.4279,-660888.1993,-659282.7352,-833076.7099,-753416.2475,-826310.6834,-786556.0503,-726033.8339
240.3,-692424.5274,-748343.2197,-865812.6599,-627931.4234,-699821.2009,-690789.222,-729843.5783,-678508.5158,-668891.6467,-853333.0115,-772266.0273,-850559.7563,-791983.1953,-751593.9364
240.2,-716665.6426,-751969.9372,-872015.6798,-627461.9196,-735746.1954,-707118.4032,-755353.9452,-696982.2947,-679077.4907,-869439.3774,-791432.1253,-876847.9874,-799634.5149,-777659.3521
240.1,-741073.8693,-751414.8883,-877371.2056,-628213.9214,-768862.1251,-722570.2491,-779879.5478,-714117.1922,-688929.1118,-884730.0801,-805015.9032,-898550.5993,-807721.518,-804799.0562
240,-761930.9765,-750633.0452,-879259.1677,-630219.2595,-800384.5273,-739265.4841,-803229.4017,-729849.5466,-701355.0458,-893099.5812,-817334.4084,-917836.0626,-820754.2259,-835448.1018
239.9,-781683.9542,-751498.4441,-879959.4445,-632634.4186,-826796.1026,-755316.1462,-828920.806,-746900.8883,-717722.026,-896481.5997,-827942.01,-935812.4859,-834099.2732,-867141.5943
239.8,-800125.9023,-751886.3815,-880864.6318,-634090.676,-848653.8894,-772508.7368,-857938.525,-766771.2419,-734208.3717,-899575.152,-833765.0502,-950289.5146,-848801.1067,-899330.453
239.7,-817481.6257,-760715.4393,-881091.426,-637319.509,-867613.0874,-792369.1433,-884749.9743,-787280.2001,-753794.2378,-903742.9925,-840541.0238,-965496.6615,-864197.2487,-932396.6471
239.6,-834045.5588,-772460.9907,-879722.7032,-644998.6805,-881441.5644,-812557.8046,-909265.6298,-808320.3343,-774657.3133,-907859.108,-848858.7999,-981398.1168,-880116.6089,-963421.6936
239.5,-848803.0961,-789026.9132,-878914.9976,-653380.1181,-894185.806,-833830.7011,-931793.8521,-830560.0903,-796186.8454,-911123.7506,-858624.8758,-997755.15,-897319.1467,-996758.4493
239.4,-860693.8754,-805857.429,-874928.1946,-665730.4541,-903808.6434,-856000.8273,-954337.9897,-855008.1054,-817346.3449,-915371.168,-867211.224,-1008591.535,-915291.5911,-1030103.163
239.3,-870064.0562,-827006.9814,-872385.7124,-678960.1148,-910779.5804,-880092.7358,-973044.5311,-877544.2854,-837248.5293,-921230.0177,-876257.1289,-1020114.271,-931875.4184,-1060670.642
239.2,-880430.9377,-847734.7761,-868719.2064,-694813.824,-917197.458,-904069.2578,-990205.291,-895437.1528,-856563.8339,-926056.3571,-885195.605,-1030150.909,-947197.9518,-1085478.743
239.1,-890847.5548,-868778.8891,-867225.15,-715873.8524,-921283.7321,-926157.8177,-1004364.012,-908814.0309,-876541.6164,-929201.6343,-894975.6068,-1037460.048,-962912.4014,-1106705.882
239,-901709.8025,-890867.449,-871880.399,-740845.0857,-918146.4126,-945904.8271,-1020430.59,-923044.3712,-895528.6663,-935378.7917,-904103.078,-1042336.123,-976571.7775,-1126039.092
238.9,-909369.0798,-914412.2662,-874572.0879,-766082.9016,-914943.4421,-964597.4424,-1034706.687,-941044.6675,-914078.0432,-942083.1461,-910258.3517,-1048310.359,-993969.2787,-1143076.508
238.8,-917078.0926,-942656.0998,-879730.6609,-792150.3068,-913451.3751,-984732.3892,-1049963.569,-958229.3005,-932607.5259,-950593.8963,-915404.9881,-1055894.038,-1012466.931,-1159240.567
238.7,-924657.793,-969250.702,-889894.6213,-816465.0307,-915225.9401,-1003685.619,-1061577.819,-974628.1115,-952788.2295,-960948.8413,-919250.5422,-1067548.076,-1029949.977,-1168831.573
238.6,-927852.8058,-995095.2919,-901747.6015,-838527.728,-918574.1385,-1020840.411,-1068308.035,-990595.2178,-971910.5602,-974011.3905,-924657.793,-1078344.673,-1048441.661,-1175888.056
238.5,-930954.3157,-1020991.607,-913851.249,-863727.745,-923354.7211,-1039379.84,-1074015.689,-1007568.972,-986473.1341,-988154.1962,-931841.5982,-1090653.231,-1069851.827,-1184615.653
238.4,-933797.2007,-1046740.704,-926665.1204,-888756.6715,-929760.6621,-1061396.781,-1080363.937,-1026012.91,-999766.4563,-1004596.775,-945439.3021,-1107445.948,-1092386.018,-1192231.163
238.3,-939065.1919,-1066241.025,-940996.9213,-914867.844,-938778.7151,-1086974.788,-1083350.06,-1044226.074,-1011456.304,-1023028.776,-963757.9061,-1125360.699,-1113533.581,-1200015.774
238.2,-947331.2431,-1084661.09,-960355.9933,-941671.3356,-950621.7482,-1112992.458,-1080612.615,-1063179.304,-1022300.647,-1044373.291,-987825.9415,-1146780.813,-1131569.687,-1203634.534
238.1,-953546.1995,-1106387.575,-981485.6514,-968709.5791,-959751.2088,-1136855.583,-1078804.229,-1082062.904,-1029963.903,-1063921.358,-1014647.338,-1169502.009,-1149633.645,-1206212.825
238,-960652.4173,-1121696.182,-1002460.135,-993330.674,-974053.1684,-1162753.887,-1076769.05,-1099241.569,-1039381.83,-1081927.623,-1043863.999,-1190721.191,-1169358.77,-1209684.368
237.9,-970336.9268,-1132896.632,-1023721.095,-1018663.982,-987808.0367,-1186827.891,-1083304.304,-1113205.326,-1048716.201,-1105090.471,-1075750.466,-1210384.645,-1187955.893,-1215021.989
237.8,-977469.0071,-1141964.42,-1047576.262,-1045845.464,-1002856.03,-1207470.14,-1092183.097,-1126842.819,-1058858.278,-1123234.006,-1106003.616,-1230000.352,-1211811.061,-1219233.597
237.7,-987597.1579,-1149245.707,-1070653.565,-1069091.868,-1020412.685,-1224195.217,-1099651.39,-1140752.862,-1073247.772,-1140036.67,-1131070.342,-1248692.967,-1235660.26,-1224738.329
237.6,-998907.0257,-1157406.319,-1095316.438,-1092575.013,-1039928.921,-1240518.43,-1113048.162,-1155711.331,-1092801.807,-1154255.074,-1157193.451,-1268804.041,-1261339.727,-1233048.148
237.5,-1009822.988,-1166036.435,-1118825.445,-1114866.494,-1057992.879,-1255482.867,-1127580.894,-1177051.868,-1114550.176,-1170057.058,-1185013.537,-1292589.579,-1288469.484,-1243082.796
237.4,-1022002.233,-1175508.076,-1140016.775,-1136127.454,-1080266.455,-1271684.725,-1141337.752,-1203405.75,-1135254.098,-1186622.98,-1212574.999,-1316872.472,-1313711.279,-1253529.254
237.3,-1037121.846,-1187882.285,-1164074.864,-1157483.906,-1106660.126,-1285087.466,-1152396.953,-1228997.683,-1154111.835,-1202460.774,-1242416.339,-1343049.295,-1338606.914,-1268028.166
237.2,-1054509.4,-1200077.446,-1189334.563,-1178026.685,-1131203.633,-1298661.297,-1166066.276,-1255039.226,-1176590.322,-1220136.795,-1270409.505,-1368159.788,-1359571.45,-1282662.36
237.1,-1073299.497,-1214017.33,-1217522.693,-1197226.603,-1158812.841,-1310211.885,-1181685.233,-1283858.003,-1196808.824,-1238819.463,-1295042.537,-1391959.251,-1378755.453,-1298939.816
237,-1096366.853,-1228524.201,-1245336.811,-1221187.21,-1183603.037,-1318702.741,-1197558.837,-1312493.752,-1214148.632,-1256941.114,-1320650.385,-1412209.585,-1397314.777,-1318905.662
236.9,-1124274.474,-1243914.374,-1274991.146,-1245673.024,-1211803.103,-1325707.498,-1212984.82,-1339185.836,-1233605.186,-1275582.004,-1345092.432,-1434222.547,-1410717.518,-1337401.324
236.8,-1157131.779,-1260128.169,-1304713.12,-1269287.471,-1241835.428,-1330629.329,-1231940.039,-1365113.982,-1254118.123,-1296687.789,-1368133.926,-1452505.341,-1421555.892,-1354677.471
236.7,-1191013.636,-1279586.712,-1335274.631,-1295591.617,-1272365.108,-1333689.062,-1253742.122,-1391398.234,-1276057.476,-1320723.994,-1386530.117,-1471229.787,-1431499.027,-1368273.185
