WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
229.4,-10318414.96,-10252160.23,-10438039.45,-10329695.56,-9960343.644,-10005064.96,-10166929.03,-9969994.824,-9828586.236,-9841170.372,-9960418.848,-9726484.272,-9887320.56,-9849793.764
229.3,-10419088.04,-10366395.11,-10527131.12,-10428212.8,-10074979.61,-10088315.78,-10283770.98,-10084154.5,-9894790.824,-9951670.116,-10070692.98,-9825954.096,-9986013.276,-9967788.84
229.2,-10517354.6,-10491258.82,-10609253.89,-10529562.72,-10195982.84,-10169210.22,-10393894.7,-10198589.92,-9964204.116,-10067007.98,-10182521.33,-9923819.568,-10085407.9,-10092151.19
229.1,-10619682.18,-10609830.46,-10685560.88,-10633018.36,-10313050.4,-10248049.08,-10502213.53,-10309290.2,-10039458.25,-10183574.18,-10289260.87,-10029330.78,-10181669.02,-10207062.9
229,-10717497.52,-10717347.11,-10760489.14,-10733666.38,-10435206.77,-10326010.56,-10606997.77,-10416430.84,-10119525.44,-10296555.66,-10384769.95,-10133037.1,-10281339.38,-10327715.18
228.9,-10813683.43,-10824838.69,-10840531.26,-10838400.48,-10558441.06,-10398858.17,-10709851.78,-10515148.62,-10211324.46,-10400011.3,-10477722.1,-10234813.18,-10381110.02,-10440420.91
228.8,-10907914.04,-10938171.12,-10919445.32,-10942106.8,-10686137.45,-10476368.42,-10808644.76,-10618027.69,-10311822.07,-10506048.94,-10563153.84,-10330096.64,-10479025.63,-10545280.36
228.7,-11005954.99,-11047241.99,-10998585,-11046540.08,-10811051.29,-10558591.46,-10903075.92,-10718099.15,-10420617.19,-10616949.77,-10650039.53,-10425254.77,-10575011,-10641842.29
228.6,-11110413.35,-11161677.41,-11080532.29,-11147037.7,-10933909.56,-10642268.45,-10993446.06,-10808745.04,-10534726.73,-10723965.06,-10738504.5,-10520638.51,-10677163.1,-10733591.17
228.5,-11215072.25,-11277566.77,-11163181.49,-11247309.7,-11046941.17,-10729906.18,-11081911.03,-10892146.27,-10660116.86,-10827947.12,-10828273.01,-10607699.68,-10776056.36,-10820702.47
228.4,-11321661.38,-11399597.8,-11247334.76,-11341139.22,-11161702.48,-10826142.23,-11167342.78,-10967400.41,-10790294.99,-10931202.22,-10914381.59,-10695613.15,-10873921.84,-10905206.7
228.3,-11433188.92,-11523408.65,-11341314.7,-11434793.27,-11271224.57,-10927191.34,-11254855.16,-11034933.6,-10928219.12,-11034206.63,-10997958.3,-10781646.53,-10971486.49,-10988633
228.2,-11549930.59,-11648422.76,-11433815.62,-11535566.63,-11378640.95,-11031825.17,-11340236.77,-11108207.36,-11067296.39,-11135882.44,-11080206.41,-10864772.02,-11067872.95,-11068073.5
228.1,-11665293.53,-11768498.48,-11532558.47,-11634961.25,-11479890.6,-11137085.7,-11426445.62,-11181380.86,-11209507.15,-11234299.4,-11156362.99,-10951783.04,-11167944.41,-11153580.44
228,-11783764.9,-11891507.16,-11626162.38,-11734656.68,-11575424.75,-11242421.44,-11502702.48,-11258991.38,-11352545.16,-11328580.15,-11227982.27,-11038493.26,-11266762.46,-11237382.77
227.9,-11902135.99,-12007822.68,-11721721.6,-11836207.15,-11665193.26,-11352244.34,-11574472.16,-11343019.32,-11497663.81,-11416493.63,-11308250,-11124250.88,-11362848.11,-11317374.76
227.8,-12015242.81,-12119450.48,-11823572.88,-11939086.22,-11745435.92,-11464548.98,-11643559.57,-11439957.28,-11643659.84,-11499945,-11387540.09,-11211938.75,-11462668.88,-11394709.54
227.7,-12135519.07,-12226566.05,-11928382.19,-12046602.88,-11826154.88,-11577204.58,-11707157.09,-11542886.48,-11789455.33,-11587081.37,-11464473.78,-11300829.88,-11557225.38,-11472996.9
227.6,-12254366.46,-12331525.76,-12033667.79,-12162391.97,-11909255.3,-11689032.92,-11767295.22,-11646567.73,-11928582.73,-11668828.12,-11541582.95,-11383228.39,-11648347.56,-11552713.14
227.5,-12369804.6,-12430043,-12144067.26,-12271387.63,-11992531.2,-11802189.88,-11827207.74,-11750223.91,-12060415.34,-11749948.16,-11609416.96,-11456978.45,-11739043.58,-11633607.58
227.4,-12482610.6,-12533548.78,-12254993.16,-12379806.73,-12075280.67,-11920661.24,-11881429.82,-11848966.76,-12183298.68,-11831795.18,-11677476.58,-11529199.36,-11826355.43,-11718537.96
227.3,-12591079.84,-12642118.28,-12369478.72,-12493615.45,-12160912.96,-12037653.6,-11940916.19,-11949740.12,-12295879.07,-11917001.32,-11742778.72,-11605230.6,-11912840.03,-11800560.46
227.2,-12700627,-12743894.36,-12478599.72,-12599402.41,-12247698.37,-12155122.25,-12009151.28,-12056228.99,-12390410.5,-12001931.7,-11808080.86,-11686175.17,-11991703.96,-11890178.56
227.1,-12802503.35,-12836595.83,-12591957.22,-12704788.28,-12331575.9,-12266574.58,-12085934.57,-12164472.61,-12472056.97,-12083878.99,-11882181.86,-11766192.23,-12067384.25,-11985436.96
227,-12898939.94,-12927743.08,-12707545.76,-12805210.69,-12417158.05,-12370155.55,-12171616.99,-12270635.59,-12541545.47,-12160988.16,-11958087.77,-11849869.21,-12147225.83,-12082675.73
226.9,-12988182.02,-13008938.33,-12824337.58,-12910045.07,-12510210.47,-12469124.02,-12258252,-12380333.16,-12602937,-12238974.71,-12037377.85,-11928131.51,-12218293.61,-12183474.16
226.8,-13077749.99,-13090033.31,-12940377.35,-13015531.21,-12611033.96,-12565836.36,-12346591.63,-12495721.16,-12655604.87,-12320069.69,-12128399.76,-12010755.64,-12295152.1,-12281139.08
226.7,-13169824.75,-13155786.67,-13052732.12,-13121493.65,-12708849.3,-12656482.25,-12432675.14,-12606045.43,-12694660.81,-12402718.88,-12218042.93,-12100123.06,-12379856.87,-12373013.3
226.6,-13259242.31,-13222442.48,-13165763.74,-13227531.29,-12812530.55,-12741462.77,-12520964.64,-12718174.6,-12724617.07,-12488702.12,-12309490.99,-12189691.02,-12469825.92,-12463709.33
226.5,-13352094.18,-13294914.07,-13277191,-13336476.82,-12926339.27,-12827095.06,-12613916.78,-12829902.67,-12753946.63,-12577643.39,-12413071.97,-12288107.99,-12559118.14,-12553728.52
226.4,-13451889.89,-13377713.68,-13381624.28,-13449959.65,-13042955.6,-12918969.28,-12706768.66,-12941630.75,-12776583.04,-12673428.22,-12517003.9,-12390611.04,-12648360.22,-12639786.96
